index,recipe_name,sentence1,sentence2,label
65,easy-lamb-rogan-josh,Cook for 3 to 4 minutes or until no longer pink in the centre.,Heat the oil in a large pan and add the lamb.,1
66,Bacon_and_cheese_pasta_bake_recipe_-_All_recipes_UK,Cook over medium high heat until evenly brown.,"Place bacon in a large, deep frying pan.",1
67,pete-s-pulled-pork--slow-cooker-style,"In a large pan add the vinegar, stock, sugar, Worcestershire sauce, thyme, mustard, ketchup, garlic, thyme and cinnamon (basically everything except the onion and pork) and warm up and simmer for 2 to 3 minutes.","Get all your ingredients together, always quicker and more fun if you are not rooting around for ingredients after you have started.",1
68,Favourite_red_velvet_cake_recipe_-_All_recipes_UK,"Bake in the preheated oven for 30 minutes, or until a skewer inserted into the centre of the cake comes out clean.","Stir together bicarbonate of soda and vinegar, then gently fold this into the cake mixture.",1
69,Katherine's_chocolate_truffles_recipe_-_All_recipes_UK,"If you want to drizzle with melted cake covering, melt as per the truffles.",Leave to cool slightly.,1
70,italian-chocolate-salami,Then add the chocolate hazelnut spread and stir well.,"Do not crumble as you would do for a cheesecake, but just break apart into smallish pieces.",1
71,Apple_Crumble_Pie_recipe_-_All_recipes_UK,Mix 100g sugar and cinnamon; sprinkle over apples.,Arrange apple slices in unbaked pastry case.,1
72,warm-potato-salad-with-mackerel,Add the lemon zest and juice and chives to the bowl and mix well.,Break the flesh into bite sized pieces and place in a large bowl.,1
73,basic-muffins,Fill muffin cups 2/3 full.,Grease muffin tin or use bun paper cases.,1
74,egg-and-bacon-breakfast-parcels,Just serve it hot and enjoy!,Lightly butter 6 slices of bread and the remove crusts.,1
75,pumpkin-in-ginger-sauce,Bake for 1 hour until the pumpkin is tender.,Preheat the oven to 180 C / Gas 4.,1
76,wholesome-pumpkin-pancakes,Fold in walnuts.,"Add wet ingredients to dry, being careful not to overmix the batter.",1
77,"Best_big,_fat,_chewy_chocolate_chip_cookies_recipe_-_All_recipes_UK",Stir in the chocolate chips by hand using a wooden spoon.,"Beat in the vanilla, egg and egg yolk until light and creamy.",1
78,mint-roasted-rack-of-lamb,"Roast in the preheated oven for 20 to 25 minutes for medium, cook in increments of 10 minutes for a more well done lamb.",Heat the remainder of the oil in a large frying pan over high heat.,1
79,pete-s-pulled-pork--slow-cooker-style,"Place the lid back on and let it all warm through again, about 20 minutes.","Get all your ingredients together, always quicker and more fun if you are not rooting around for ingredients after you have started.",1
80,pete-s-pulled-pork--slow-cooker-style,"Place the lid back on and let it all warm through again, about 20 minutes.",Add the oil to a large frying pan and brown the pork shoulder on all sides.,1
81,creamy-macaroni-salad,Pour over the vegetables and stir in macaroni until well blended.,Cool under a cold running tap and drain.,1
82,easy-lamb-rogan-josh,Cook further for 2 to 3 minutes.,Heat the oil in a large pan and add the lamb.,1
83,Chicken_and_couscous_salad_recipe_-_All_recipes_UK,Garnish with a few black olives per serving.,"Simmer over low heat until all liquid has evaporated and chicken juices run clear, 5 to 7 minutes.",1
84,spinach-and-salmon-timbales,"Cover each one with a plate, invert and lift off the dish.","Preheat the oven to 200°C (400°F, gas mark 6).",1
85,Italian_ciabatta_sandwich_recipe_-_All_recipes_UK,"Cover with top layer, and cut into 4 servings.",Drizzle olive oil on both cut sides.,1
86,Cashew_chicken_stir_fry_recipe_-_All_recipes_UK,"Stir up the sauce to redistribute the cornflour, then pour into the wok, and bring to the boil.","Pour the remaining tablespoon of oil into the wok, and stir in the onion, green pepper, cashews and water chestnuts.",1
87,mushroom-and-white-wine-risotto,"Serve straightaway with extra grated Parmesan, if desired.",Continue until all of the stock has been added and the rice is firm but tender.,1
88,creamy-cole-slaw,Season with pepper.,"Let it stand until cabbage wilts, at least 1 hour and up to 4 hours.",1
89,kahlua-bread-pudding,Set aside.,Grease a baking dish.,1
90,dreamy-delight,"Spoon on top of the set Angel Delight layer, then return to the fridge to chill till serving.",Tip into a greased rectagular glass dish and pat down till flat and level.,1
91,amy-s-creamy-chicken-and-tarragon-tagliatelle,"When the chicken is almost ready, add the fresh pasta to the boiling water and cook for 3 minutes.",Add the onions and fry for 5 minutes.,1
92,beef-rolls-with-mushroom-stuffing,Add the onion and celery to the oil remaining in the pan and gently cook for about 5 minutes until softened.,"Season to taste, then set aside to cool slightly.",1
93,crab-topped-fillet-steaks,"Transfer steaks to an oiled baking tin and roast in the middle of the preheated oven until they start to firm and are reddish-pink and juicy in the centre, about 10 minutes.",Preheat an oven to 220 C / Gas 7.,1
94,sicilian-braccialoni,Serve with spaghetti and sauce.,"Drizzle or brush with 1 tablespoon of olive oil, then sprinkle with a thin layer of breadcrumbs.",1
95,My_own_famous_dolmades_recipe_-_All_recipes_UK,"Pour in 1 litre of stock, reduce heat to low and simmer for another 10 to 15 minutes, or until rice is almost cooked.","In a large saucepan over medium-high heat, saute the rice, onion, dill and mint for about 5 minutes, or until onion is soft.",1
96,victoria-sponge-cake-with-buttercream,Place onto a wire rack.,Preheat the oven to 180 C / Gas 4.,1
97,Clone_of_a_cinnabon_recipe_-_All_recipes_UK,"While buns are baking, beat together cream cheese, 50g butter, icing sugar, vanilla and salt.",Roll dough into a 40x50cm (18x20 in) rectangle.,1
98,Slow_cooked_chicken_korma_recipe_-_All_recipes_UK,Add the cream and ground up nuts.,Cook over a high heat until evenly browned.,1
99,Italian_style_pizza_recipe_-_All_recipes_UK,Add your toppings but DO N'T OVERLOAD the pizza!,Add 2 tablespoons of the sauce to a 12 inch pizza and 3 to a 15 inch pizza.,1
100,indian-coconut--almond-and-poppy-seed-pudding---gasagage-payasa,boil and stir until thick.,"Combine the almonds, poppy seeds, and rice in a bowl;",1
101,somalian-sambusa,Remove carefully to drain on kitchen towels.,Add minced beef and cook until about halfway done.,1
102,beef-barley-and-mushroom-soup,"Add beef, 1.5 litres water, stock cubes and barley to vegetable mixture.","Saute carrots, onion, garlic, celery and mushrooms.",1
103,pete-s-pulled-pork--slow-cooker-style,Add the shredded pork back into the slow cooker and add 1 to 2 cups of the stock and mix it in.,Take the pork out of the slow cooker and leave it to stand for 10 to 20 minutes.,1
104,egg-and-bacon-breakfast-parcels,Bake in centre of hot oven for 10 to 15 minutes.,"Chop the onion, bacon, mushroom and chorizo.",1
105,veggie-burgers,"Spread 1 tsp mayonnaise, if using, on each bun, then add some lettuce and a burger to each.",Shape the mixture into 4 thick burgers about 10 cm (4 in) in diameter.,1
106,Pork_and_vegetables_in_hoisin_sauce_recipe_-_All_recipes_UK,"Stir in the cabbage, carrots, water chestnuts, green pepper, pork and sauce.",Heat the same frying pan with 1 tablespoon oil over high heat.,1
107,sweet-potato-and-bean-soup,Serve immediately.,Add the cumin and cook for 2 more minutes.,1
108,easy-student-potato-wedges,"Bake in the preheated oven until brown and crispy on the outside and fluffy in the middle, about 30 minutes, depending on your oven.","Choose a seasoning such as paprika, garlic salt, mixed herbs, or curry powder.",1
109,Chocolate_fairy_cakes_recipe_-_All_recipes_UK,"Bake for 15 minutes in the preheated oven, or until a skewer inserted into the cake comes out clean.","Sift together the flour, baking powder, bicarbonate of soda, cocoa and salt.",1
110,pete-s-pulled-pork--slow-cooker-style,"Place the lid back on and let it all warm through again, about 20 minutes.",Basically you can leave it in there for 8 to 10 hours if you want so you can do this on a work day in the morning and come home to yummy pulled pork.,1
111,cj-s-chicken-in-a-white-wine-and-cream-sauce,Enjoy.,"Serve on a bed of fluffy rice, maybe with some garlic bread.",1
112,japanese-omelette-rice,Pour egg into the pan and swirl to cover the base of the pan.,Heat a pan with butter.,1
113,Thyme_roast_pork_with_cider_cream_sauce_recipe_-_All_recipes_UK,Remove thyme from roasting tray along with any excess fat.,Remove pork and parsnips from oven and leave to rest for 10 minutes.,1
114,vanilla-cupcakes-with-vanilla-buttercream,"If desired, decorate with grated chocolate, dragees or even hundreds and thousands.",Mix in the milk and vanilla extract alternately with the icing sugar and then mix at low speed into the butter until the cream is light and fluffy.,1
115,kwarezimal,"Form the dough into shapes (approximately 14cm long, 7cm wide and 2cm thick).",Add the bran from the wholemeal flour back to the flours mixture.,1
116,Spicy_parsnip_soup_recipe_-_All_recipes_UK,Take off the heat and blend with hand mixer or food processor.,Add to pan and stir well.,1
117,Pico_de_gallo_chicken_quesadillas_recipe_-_All_recipes_UK,Sprinkle another 4 tablespoons cheese over the chicken and top with another tortilla.,"For the pico de gallo: In a small bowl, combine tomatoes, onion, lime juice, coriander, fresh chilli, salt and pepper.",1
118,Spanish_orange_and_almond_cake_recipe_-_All_recipes_UK,Sprinkle with the flaked almonds.,Put the egg whites in a large bowl and whisk until they form stiff peaks.,1
119,Italian_style_pizza_recipe_-_All_recipes_UK,Add your toppings but DO N'T OVERLOAD the pizza!,Next add 50 to 60g of grated mozzarella.,1
120,beef-rolls-with-mushroom-stuffing,Pour in the beef stock and sherry and add the bay leaf.,"Meanwhile, lay the beef slices between sheets of greaseproof paper or cling film and bash out as thinly as possible using a rolling pin.",1
121,sicilian-braccialoni,Remove meat from the sauce to a serving plate and let stand for 15 minutes.,"Drizzle or brush with 1 tablespoon of olive oil, then sprinkle with a thin layer of breadcrumbs.",1
122,baked-onion-bhajis,"Serve hot, enjoy!","Gently sweat the onions off in a frying pan with some oil until they turn translucent, about 6-8 minutes.",1
123,Easy_turkey_gravy_recipe_-_All_recipes_UK,Add stock and bring to the boil.,"To make the turkey gravy, place the roasting tin over 2 burners on the hob on medium-high heat.",1
124,curly-endive-and-rice-soup,Season to taste;,Warm the stock in a saucepan over medium heat.,1
125,barbecued-teriyaki-tuna-steaks,Cook to desired doneness.,Place the tuna in the bag.,1
126,pork-chops-with-normandy-sauce,Skim off any fat that has risen to the surface; stir in the cream.,"Bake, covered, in the preheated oven until the pork is cooked through, about 30 minutes.",1
127,veggie-burgers,Shape the mixture into 4 thick burgers about 10 cm (4 in) in diameter.,Mix in the breadcrumbs and egg until thoroughly combined.,1
128,No_pastry_apple_pie_recipe_-_All_recipes_UK,Spread mixture over the apples.,Sprinkle with cinnamon and 1 teaspoon sugar.,1
129,Tri-colour_roasted_pepper_soup_recipe_-_All_recipes_UK,"When cool enough to touch, peel skin from peppers.","When peppers are done, remove from oven and set aside to cool.",1
130,chocolate-meringue-morsels,Use 2 teaspoons to make small heaps of batter on the baking tray.,Gradually beat in the sugar until smooth and glossy.,1
131,Irish_champ_recipe_-_All_recipes_UK,Stir in the milk and spring onion until evenly mixed.,Drain well.,1
132,khoresht-fesenjaan--persian-chicken-with-pomegranate-sauce-,Add this mixture to the simmering chicken mixture.,"Add chicken pieces, and fry until lightly browned on the outside.",1
133,Slow-braised_beef_and_barley_recipe_-_All_recipes_UK,"Cover with a tight-fitting lid, transfer to the oven and braise for 45 minutes.",Add the onions to the casserole and cook gently for 3-4 minutes or until lightly coloured all over.,1
134,Emily's_famous_chocolate_shortbread_biscuits_recipe_-_All_recipes_UK,Stir frequently until smooth.,Cut in the butter until lumps are no larger than peas.,1
135,italian-chocolate-salami,Transfer the mixture onto the paper and shape it as a log with your hands.,"Place in a bowl with cocoa powder, egg, melted butter and sugar.",1
136,easy-grilled-naan,Pinch off small handfuls of dough about the size of a golf ball.,"Place dough in a well oiled bowl, cover with a damp cloth, and set aside to rise 1 hour, until the dough has doubled in volume.",1
137,curly-endive-and-rice-soup,divide into 4 bowls and drizzle some extra virgin olive oil on top.,Pour in remaining stock and rice;,1
138,Cheesy_Spinach_Pasta_Bake_recipe_-_All_recipes_UK,"Pour half of the pasta mixture into the baking dish, and cover with another 1/3 of the pasta sauce.",Cover the bottom of a 22x33cm baking dish with 1/3 of the pasta sauce.,1
139,kahlua-bread-pudding,Serve warm.,"Heat milk and coffee liqueur in a small saucepan, then whisk into egg mixture.",1
140,sicilian-braccialoni,Roll the meat up into a tight roll and secure with kitchen twine.,"Layer the prosciutto over the crumbs, sprinkle with remaining breadcrumbs and chopped hard-boiled eggs.",1
141,quick-mince-hotpot,"Bake in the preheated oven for approximately 20 minutes until the potatoes are golden brown and the cheese, if using, has melted.",Drain and allow to cool before slicing.,1
142,Moist_garlic_roasted_chicken_recipe_-_All_recipes_UK,"Bake in the preheated oven until the chicken has cooked, about 1 1/2 to 2 hours or until the juices are no longer pink.",Preheat oven to 160 degrees C / gas mark 3.,1
143,Walnut_and_Sultana_Spice_Cake_recipe_-_All_recipes_UK,"Dust with icing sugar or cover with icing, if you prefer.",Pour mixture into greased tin.,1
144,mrs-davey-s-apple-cake,Mix brown sugar and spice together and sprinkle half over the mix in the tin.,Beat eggs and milk together and mix with the flour mixture.,1
145,Spanish_orange_and_almond_cake_recipe_-_All_recipes_UK,Dust with icing sugar before serving.,"Stir in 3 spoonfuls of the whisked egg white to loosen the mixture, then gently fold in the remaining whites with a large metal spoon.",1
146,pete-s-pulled-pork--slow-cooker-style,I also added a good slosh of chilli sauce to mine.,Skim as much of the fat of the top of the stock as you can and place to one side.,1
147,vanilla-cupcakes-with-vanilla-buttercream,Pour one-third of the egg-milk mixture into the flour mixture and stir with the spatula.,Stir in butter cubes until they are well coated with the flour.,1
148,veggie-burgers,Spread with the tomato mixture and top with the shallot slices.,"Stir in the ground cumin and coriander, the peanut butter, fresh coriander and seasoning to taste, and mix well.",1
149,pete-s-pulled-pork--slow-cooker-style,"Place the lid back on and let it all warm through again, about 20 minutes.","Remove any lumps of fat you find, and of course any bones.",1
150,peach-pudding,Add caster sugar gradually whilst whisking until all combined.,Make meringue by whisking egg whites till nice and fluffy.,1
151,cj-s-chicken-in-a-white-wine-and-cream-sauce,Enjoy.,Return the pan to a low heat and reduce the cream at a gentle simmer.,1
152,Spicy_parsnip_soup_recipe_-_All_recipes_UK,Add to pan and stir well.,"Fry the onion in butter until soft, about 5 minutes.",1
153,Sweet_and_Spicy_Pork_Stir_Fry_with_Chinese_Noodles_recipe_-_All_recipes_UK,Drain well.,Fill a large pot with lightly salted water and bring to a rolling boil over high heat.,1
154,spinach-and-salmon-timbales,"Stir in the lime juice, herbs, cream and seasoning to taste.","Stir in the flour, then gradually stir in the milk and bring to the boil, stirring constantly.",1
155,cinnamon-nut-crunch-cake,Scatter over the remaining topping and press down very lightly.,Cream butter and sugar.,1
156,Ultimate_sponge_cake_recipe_-_All_recipes_UK,"Fold orange zest, orange juice and lemon extract into the egg mixture.","Gradually add sugar, beating after each addition.",1
157,mango-crumble,Spread fruit in the prepared tin.,"Combine the 45g sugar and flour, and toss with fruit.",1
158,easy-grilled-naan,"If you wish to make garlic naan, knead in the minced garlic now.","Let stand 10 minutes, till bubbly and frothy.",1
159,spinach-and-salmon-timbales,"Cut the remaining 2 strips of pasta across in half and lay a piece in each ramekin, pressing it in neatly on top of the salmon mixture.",Shake the pan occasionally so that the spinach cooks evenly.,1
160,brandied-chestnut-and-mushroom-terrine,Sprinkle a little chopped coriander or basil over the top and serve it with mixed salad leaves.,"Add the brandy to the pan and allow it to simmer for 1-2 minutes until reduced, then remove the pan from the heat and leave the mixture to cool for about 3 minutes.",1
161,spinach-and-salmon-timbales,Run a flat-bladed knife around the edges of the dishes to loosen the timbales.,"Lay 2 lasagne strips in each spinach-lined ramekin, overlapping them in a cross shape.",1
162,family-friendly-cottage-pie,"Bake in a preheated 200 C / Gas 6 oven for 15 to 20 minutes, or until the cheese is golden brown.",Add peas and the carrots along with the water they were cooked in to the beef mixture.,1
163,spinach-and-salmon-timbales,Run a flat-bladed knife around the edges of the dishes to loosen the timbales.,"Add half of the beaten egg, the nutmeg and seasoning to taste, and mix thoroughly.",1
164,Irish_champ_recipe_-_All_recipes_UK,"Mash the potatoes, salt and butter together until smooth.",( It helps if you place a clean tea towel over the potatoes to absorb any remaining moisture. ),1
165,kahlua-bread-pudding,Sprinkle mixture all over.,Toss bread with melted butter and place half of them in prepared baking dish.,1
166,oriental-chicken-noodle-soup,Leave the pan of stock on the heat.,"Add the chicken, reduce the heat and simmer for about 15 minutes until the chicken is cooked.",1
167,pete-s-pulled-pork--slow-cooker-style,"To build the sandwich I add a slice of smoked cheese at the bottom, then a good pile of pulled pork and finished off with a big blob of coleslaw.",Take the pork out of the slow cooker and leave it to stand for 10 to 20 minutes.,1
168,sweet-potato-and-bean-soup,Bring back to the boil and simmer gently until piping hot.,Add the stock and bring to the boil.,1
169,vanilla-cupcakes-with-vanilla-buttercream,"If desired, decorate with grated chocolate, dragees or even hundreds and thousands.","If the buttercream is too thin, add more icing sugar a teaspoon at a time.",1
170,layered-chicken-enchiladas,Spoon 2 to 3 spoonful enchilada sauce mixture over tortilla layer.,Sprinkle 1/3 of the grated cheese over chicken layer.,1
171,crab-topped-fillet-steaks,Top each steak with the crabmeat and butter mixture.,Pat steaks dry and season with salt and pepper.,1
172,Lemon_mackerel_pâté_recipe_-_All_recipes_UK,This will make a coarse-textured pÃ¢tÃ©.,"Using a fork, break up the mackerel fillets into large pieces and place in a bowl.",1
173,Thyme_roast_pork_with_cider_cream_sauce_recipe_-_All_recipes_UK,Slice the pork loin and serve with the parsnips and cider cream.,"Add cider to the meat juices, and boil for 2-3 minutes.",1
174,Spicy_parsnip_soup_recipe_-_All_recipes_UK,Take off the heat and blend with hand mixer or food processor.,"Fry the onion in butter until soft, about 5 minutes.",1
175,the-best-ever--on-this-earth--chewy-brownies,"Bake in the preheated oven till centre tests done with a skewer, about 30 to 40 minutes.",Tip into the prepared tin.,1
176,Sausage_and_leek_casserole_with_parsley_dumplings_recipe_-_All_recipes_UK,Make a well in the centre of the dry mix and gradually add some milk until the mixture forms into a dough consistency.,We can now make the parsley dumplings.,1
177,spiced-chocolate-courgette-cake,Bake in a preheated 170 C / Gas 3 oven for 45 minutes.,Blend dry ingredients into the butter mixture.,1
178,mint-roasted-rack-of-lamb,"Remove from the oven, transfer to a plate and let rest 10 minutes before slicing.",Heat the remainder of the oil in a large frying pan over high heat.,1
179,Favourite_red_velvet_cake_recipe_-_All_recipes_UK,Refrigerate until ready to serve.,"Beat in the buttermilk mixture alternately with the flour, mixing each time.",1
180,pete-s-pulled-pork--slow-cooker-style,We eat our sandwiches with chips and salad.,Skim as much of the fat of the top of the stock as you can and place to one side.,1
181,Mum’s_apricot_Chelsea_buns_recipe_-_All_recipes_UK,Drizzle with icing and serve.,Arrange the slices in an 18cm cake tin.,1
